price,duration,emirate,number,character,timestamp,value_of_X,number_of_X,value_of_Y,number_of_Y,pattern,number_of_zeros,number_of_digits,isYear,isPalindrome,isMemeNumber,containsMemeNumber,isCarModel,containsSeries,isFullSeries,random
3000,3 months ago,dubai,44294,bb,07:00.0,4,3,2,1,XX__X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.466859853
6000,1 week ago,dubai,84060,g,07:00.1,4,1,6,1,__0_0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.559479916
7000,,dubai,97009,CC,07:00.1,9,2,7,1,X_00X,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.072346315
7500,7 months ago,dubai,81060,b,07:00.0,1,1,6,1,__0_0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.890225056
370000,,dubai,2002,D,07:00.0,2,2,,0,X00X,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.405756565
45000,10 months ago,dubai,5432,e,07:00.0,2,1,3,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.943830047
18900,1 week ago,dubai,6875,h,07:00.0,5,1,6,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.959530574
16900,,dubai,4711,O,07:00.1,1,2,4,1,__XX,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.371360479
24000,,dubai,7151,J,07:00.1,1,2,5,1,_X_X,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.323451181
18000,4 days ago,dubai,2794,f,07:00.0,2,1,4,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.098469603
14900,,dubai,8058,AA,07:00.1,8,2,5,1,X0_X,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.408688669
25000,,dubai,3693,Z,07:00.0,3,2,6,1,X__X,0,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.380094779
8000,,dubai,29966,C,07:00.1,6,2,9,2,_YYXX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.264359067
4800,9 months ago,dubai,14112,u,07:00.0,1,3,2,1,X_XX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.632496736
25000,,dubai,6322,B,07:00.0,2,2,3,1,__XX,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.06722435
15900,,dubai,8984,U,07:00.1,8,2,4,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.366558967
520000,1 week ago,dubai,504,m,07:00.0,4,1,5,1,_0_,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.183686795
29500,6 days ago,dubai,5095,r,07:00.1,5,2,9,1,X0_X,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.962115221
7500,1 day ago,dubai,18117,k,07:00.0,1,3,7,1,X_XX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.687304322
33000,16 hours ago,dubai,60555,t,07:00.0,5,3,6,1,_0XXX,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.675785088
26000,,dubai,99669,U,07:00.1,9,3,6,2,XXYYX,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.241281948
6000,4 days ago,dubai,43007,cc,07:00.0,3,1,4,1,__00_,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.477889788
15000,4 months ago,dubai,55978,a,07:00.0,5,2,7,1,XX___,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.155371155
319000,,dubai,556,Q,07:00.1,5,2,6,1,XX_,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.914861116
6900,,dubai,96116,U,07:00.0,1,2,6,2,_YXXY,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85949551
12000,1 hour ago,dubai,55488,s,07:00.0,5,2,8,2,XX_YY,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.838249741
550000,,dubai,10001,V,07:00.0,1,2,,0,X000X,3,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.123847632
4500,12 hours ago,dubai,21292,g,07:00.0,2,3,1,1,X_X_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.896083735
5999,1 month ago,dubai,11618,z,07:00.0,1,3,6,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.914252263
565000,,dubai,1234,V,07:00.0,1,1,2,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.376081951
31900,1 week ago,dubai,6691,h,07:00.0,6,2,1,1,XX__,0,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.063336927
30000,4 months ago,dubai,8803,o,07:00.0,8,2,3,1,XX0_,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.606697373
3500,11 months ago,dubai,77876,o,07:00.0,7,3,6,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.567511018
20000,6 months ago,dubai,2397,q,07:00.0,2,1,3,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.100995431
15000,10 months ago,dubai,32200,v,07:00.0,2,2,3,1,_XX00,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.160695904
15000,4 days ago,dubai,93932,b,07:00.0,3,2,9,2,YXYX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.549128726
55500,5 days ago,dubai,8807,j,07:00.0,8,2,7,1,XX0_,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.605815671
5900,,dubai,93390,W,07:00.1,3,2,9,2,YXXY0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.898071769
2400,6 months ago,dubai,38682,b,07:00.0,8,2,2,1,_X_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.922161455
5500,9 hours ago,dubai,34354,x,07:00.0,3,2,4,2,XYX_Y,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.630735775
7000,13 hours ago,dubai,55616,r,07:00.0,5,2,6,2,XXY_Y,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.19901941
5500,2 weeks ago,dubai,92209,x,07:00.0,2,2,9,2,YXX0Y,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.171340596
4700,4 hours ago,dubai,32215,b,07:00.0,2,2,1,1,_XX__,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.474552933
4999,2 months ago,dubai,52332,q,07:00.0,2,2,3,2,_XYYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.040834521
9700,1 month ago,dubai,31818,k,07:00.0,1,2,8,2,_XYXY,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.431209057
4320,11 months ago,dubai,99545,d,07:00.0,5,2,9,2,YYX_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.895054228
13900,,dubai,91112,V,07:00.1,1,3,2,1,_XXX_,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.942087181
35000,4 days ago,dubai,4580,q,07:00.0,4,1,5,1,___0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.930606061
4000,1 week ago,dubai,74708,c,07:00.0,7,2,4,1,X_X0_,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.439986084
95733,3 months ago,dubai,95733,j,07:00.0,3,2,5,1,___XX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.212585925
15900,,dubai,15110,V,07:00.0,1,3,5,1,X_XX0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.727357542
2900,8 months ago,dubai,48824,y,07:00.0,4,2,8,2,XYY_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.489278275
21500,3 hours ago,dubai,6302,v,07:00.0,2,1,3,1,__0_,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3093135
60000,4 days ago,dubai,1660,v,07:00.0,6,2,1,1,_XX0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.89755434
3600,8 months ago,dubai,20408,r,07:00.0,2,1,4,1,_0_0_,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.818252542
20000,,dubai,5857,E,07:00.1,5,2,7,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.150027639
20000,5 months ago,dubai,54449,j,07:00.0,4,3,5,1,_XXX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.993142748
2999,4 months ago,dubai,93797,r,07:00.0,7,2,9,2,Y_XYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.584376611
15000,3 months ago,dubai,7396,i,07:00.0,3,1,6,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.493881222
3900,1 week ago,dubai,24204,w,07:00.0,2,2,4,2,XYX0Y,1,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.420224734
500000,,dubai,992,Z,07:00.1,9,2,2,1,XX_,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.21896225
25000,1 month ago,dubai,7263,n,07:00.0,2,1,3,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.821585525
69900,11 months ago,dubai,1151,k,07:00.0,1,3,5,1,XX_X,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.231028822
21000,1 hour ago,dubai,5917,g,07:00.0,1,1,5,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.437551535
5500,2 weeks ago,dubai,60554,x,07:00.0,5,2,4,1,_0XX_,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.808808711
389000,,dubai,323,D,07:00.1,3,2,2,1,X_X,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.757390472
550000,2 weeks ago,dubai,360,r,07:00.0,3,1,6,1,__0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.870912332
19500,9 months ago,dubai,43222,p,07:00.0,2,3,3,1,__XXX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.031242661
3900,,dubai,81013,F,07:00.0,1,2,3,1,_X0X_,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.668073937
2500,10 months ago,dubai,57252,n,07:00.0,2,2,5,2,Y_XYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.475039968
95000,2 months ago,dubai,1140,w,07:00.0,1,2,4,1,XX_0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.963527686
20000,,dubai,5758,D,07:00.1,5,2,7,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.215515047
5000,2 months ago,dubai,66463,m,07:00.0,6,3,3,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.923166527
15900,,dubai,3831,Q,07:00.1,3,2,1,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.937481896
15500,2 days ago,dubai,20520,f,07:00.0,2,2,5,1,X0_X0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.556141509
360000,,dubai,899,W,07:00.1,9,2,8,1,_XX,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.596660861
25000,4 months ago,dubai,55922,l,07:00.0,2,2,5,2,YY_XX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.640590315
13000,10 months ago,dubai,77116,i,07:00.0,1,2,7,2,YYXX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.04528587
395000,,dubai,233,N,07:00.1,3,2,2,1,_XX,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.51561743
4900,2 weeks ago,dubai,55851,x,07:00.0,5,3,1,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.480114032
3500,7 months ago,dubai,43110,x,07:00.0,1,2,3,1,__XX0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.007109357
21000,6 days ago,dubai,5694,q,07:00.0,4,1,5,1,____,0,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.853383899
2150000,,dubai,41,C,07:00.1,1,1,4,1,__,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.803827976
6000,5 months ago,dubai,52725,o,07:00.0,2,2,5,2,YX_XY,0,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.315636476
4999,,dubai,39930,DD,07:00.1,3,2,9,2,XYYX0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65567468
3900,6 days ago,dubai,33573,cc,07:00.1,3,3,5,1,XX__X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.727469608
339000,9 months ago,dubai,269,p,07:00.0,2,1,6,1,___,0,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.468265657
17500,1 day ago,dubai,5862,i,07:00.0,2,1,5,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.036955773
4999,,dubai,39930,G,07:00.1,3,2,9,2,XYYX0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.728109108
4999,3 months ago,dubai,52233,q,07:00.0,2,2,3,2,_XXYY,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.952842938
12000,2 days ago,dubai,18911,f,07:00.0,1,3,8,1,X__XX,0,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.414509081
24900,1 week ago,dubai,6576,s,07:00.0,6,2,5,1,X__X,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.850651932
10500,1 day ago,dubai,41404,v,07:00.0,4,3,1,1,X_X0X,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.250882806
5500,2 weeks ago,dubai,55181,u,07:00.0,1,2,5,2,YYX_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.738959592
14500,4 days ago,dubai,88826,h,07:00.0,8,3,2,1,XXX__,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.123503466
85000,,dubai,6311,R,07:00.0,1,2,3,1,__XX,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.361547429
8000,7 months ago,dubai,76990,e,07:00.0,9,2,6,1,__XX0,1,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.034481223
4900,2 weeks ago,dubai,39131,x,07:00.0,1,2,3,2,Y_XYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.469564619
90000,9 months ago,dubai,8388,h,07:00.0,8,3,3,1,X_XX,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.493392448
26000,,dubai,9395,L,07:00.0,9,2,3,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.400822878
14000,,dubai,8374,BB,07:00.0,3,1,4,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.675733514
360000,,dubai,899,K,07:00.1,9,2,8,1,_XX,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.101010041
16500,1 day ago,dubai,21011,m,07:00.0,1,3,2,1,_X0XX,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.890310279
8000,2 weeks ago,dubai,94141,r,07:00.0,1,2,4,2,_YXYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.561424043
3500,3 months ago,dubai,55360,o,07:00.0,5,2,3,1,XX__0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.652357461
14000,3 days ago,dubai,70171,m,07:00.0,1,2,7,2,Y0XYX,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.621089698
5500,3 months ago,dubai,63200,l,07:00.0,2,1,3,1,___00,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.204012019
77000,,dubai,1232,B,07:00.0,2,2,1,1,_X_X,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.838851117
25000,1 month ago,dubai,6491,b,07:00.0,1,1,4,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.23389031
35000,,dubai,9796,BB,07:00.0,9,2,6,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.525181617
5500,3 days ago,dubai,54994,j,07:00.0,4,2,9,2,_XYYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.244261854
25000,7 months ago,dubai,3027,p,07:00.0,2,1,3,1,_0__,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.932663961
18000,1 day ago,dubai,60608,m,07:00.0,6,2,8,1,X0X0_,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.455083882
13500,3 weeks ago,dubai,78478,b,07:00.0,7,2,8,2,XY_XY,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.447561854
735000,,dubai,619,K,07:00.1,1,1,6,1,___,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.896668871
16000,7 months ago,dubai,4973,f,07:00.0,3,1,4,1,____,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.547846403
32900,1 week ago,dubai,4046,n,07:00.0,4,2,6,1,X0X_,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.200987178
27000,11 months ago,dubai,4432,l,07:00.0,4,2,2,1,XX__,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.123915441
389000,,dubai,160,K,07:00.1,1,1,6,1,__0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.170987329
40000,3 months ago,dubai,44177,u,07:00.0,4,2,7,2,XX_YY,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.330033456
3200,,dubai,32130,BB,07:00.1,3,2,1,1,X__X0,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.504247304
7000,1 month ago,dubai,58511,u,07:00.0,1,2,5,2,Y_YXX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.999185288
5900,3 hours ago,dubai,33423,m,07:00.0,3,3,2,1,XX__X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.313125592
7000,2 months ago,dubai,14262,t,07:00.0,2,2,1,1,__X_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.306461601
39000,10 months ago,dubai,6055,p,07:00.0,5,2,6,1,_0XX,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.875505493
35000,4 days ago,dubai,88998,o,07:00.0,8,3,9,2,XXYYX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.175525035
12900,,dubai,18988,D,07:00.0,8,3,1,1,_X_XX,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.542833472
3500,11 months ago,dubai,77287,x,07:00.0,7,3,2,1,XX__X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.308729177
5000,5 months ago,dubai,76727,aa,07:00.0,7,3,2,1,X_X_X,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.800679362
40500,,dubai,4580,C,07:00.0,4,1,5,1,___0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.618155338
1980000,,dubai,76,AA,07:00.1,6,1,7,1,__,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.794953515
4900,2 weeks ago,dubai,33238,x,07:00.0,3,3,2,1,XX_X_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.403949932
3600,1 hour ago,dubai,90730,d,07:00.0,3,1,7,1,_0__0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.078331019
550000,,dubai,40000,K,07:00.0,4,1,,0,_0000,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.747979907
32900,3 weeks ago,dubai,5359,m,07:00.0,5,2,3,1,X_X_,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.352969202
4900,7 months ago,dubai,24227,b,07:00.0,2,3,4,1,X_XX_,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.524925427
